UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,2,2023,48,3916772,1952844,1963928,1496524,1458437,246716,277971,26197,24603,143212,159098,5583,5064,34612,38755,1525960,1491296,258480,292291,39815,39619,157008,174471,9519,9053,1540102,1565689,1127205,1104446,229952,258977,13332,13641,139373,155247,4078,3756,26162,29622,1149231,1129267,238113,269063,22656,24242,151240,168490,7268,6992,412742,398239,369319,353991,16764,18994,12865,10962,3839,3851,1505,1308,8450,9133,376729,362029,20367,23228,17159,15377,5768,5981,2251,2061
R,2,2023,49,3853592,1918103,1935489,1468541,1434881,243145,275036,25161,24319,142344,158985,5174,5008,33738,37260,1497234,1466328,254427,288645,38462,38800,155949,173893,8966,8978,1524289,1550251,1115829,1092167,227199,256706,12955,13557,138817,155247,3833,3749,25656,28825,1137381,1116223,234921,266452,22258,24031,150553,168122,6950,6963,393814,385238,352712,342714,15946,18330,12206,10762,3527,3738,1341,1259,8082,8435,359853,350105,19506,22193,16204,14769,5396,5771,2016,2015
R,2,2023,50,3977792,1979527,1998265,1517976,1484825,253922,286309,25771,24694,142815,160125,5197,5021,33846,37291,1546696,1516270,264810,299689,39514,39661,156456,174902,8984,8959,1584986,1612267,1164200,1141216,238199,268116,13474,13881,139207,156363,3905,3738,26001,28953,1186012,1165309,245763,277747,23255,24806,151059,169164,6970,6994,394541,385998,353776,343609,15723,18193,12297,10813,3608,3762,1292,1283,7845,8338,360684,350961,19047,21942,16259,14855,5397,5738,2014,1965
R,2,2023,51,4174128,2081826,2092302,1618089,1576618,260514,292879,25700,24985,138668,155290,5287,4869,33568,37661,1646470,1608405,271217,306131,39685,40550,151979,169900,9068,8901,1695131,1714041,1271285,1239539,245062,275280,13886,14416,134994,151708,3925,3677,25979,29421,1292991,1264088,252581,284793,24006,25946,146571,164416,7035,7009,386695,378261,346804,337079,15452,17599,11814,10569,3674,3582,1362,1192,7589,8240,353479,344317,18636,21338,15679,14604,5408,5484,2033,1892
R,2,2023,52,4373352,2184464,2188888,1707762,1661114,271431,304022,26588,25472,138847,155193,5108,5099,34728,37988,1737183,1693021,282551,317331,41363,41570,152195,169676,9136,9366,1796119,1813855,1359491,1327337,255833,286289,14621,14876,135255,151541,3824,3836,27095,29976,1382192,1352255,263740,296035,25489,27038,146828,164049,7146,7365,388345,375033,348271,333777,15598,17733,11967,10596,3592,3652,1284,1263,7633,8012,354991,340766,18811,21296,15874,14532,5367,5627,1990,2001
R,2,2023,53,4186597,2086513,2100084,1637513,1602140,255834,286406,25055,24172,130547,147228,5201,4974,32363,35164,1664871,1631558,265902,298418,39135,39506,142931,160635,9076,8944,1716312,1741849,1305445,1282525,241044,269836,13816,14321,127119,143712,3932,3830,24956,27625,1326283,1305410,247996,278528,24082,25882,137834,155257,7134,7127,370201,358235,332068,319615,14790,16570,11239,9851,3428,3516,1269,1144,7407,7539,338588,326148,17906,19890,15053,13624,5097,5378,1942,1817
R,2,2023,54,4065973,2024956,2041017,1590700,1560110,247135,276104,24518,23338,127950,143762,4581,4754,30072,32949,1616086,1587620,256199,287161,38014,38094,139352,156051,8112,8536,1673227,1700412,1275121,1256343,232827,260168,13695,13919,124838,140505,3443,3592,23303,25885,1294574,1277689,239038,268075,23737,25142,134724,151203,6354,6748,351729,340605,315579,303767,14308,15936,10823,9419,3112,3257,1138,1162,6769,7064,321512,309931,17161,19086,14277,12952,4628,4848,1758,1788
R,2,2023,55,3992808,1981934,2010874,1564270,1541986,244327,276472,23355,23173,116755,133141,4640,4572,28587,31530,1588359,1568210,252855,287139,36451,37534,127492,144608,7950,8320,1643360,1680229,1260348,1246862,230437,260859,13167,14134,113762,130123,3485,3510,22161,24741,1278771,1267198,236266,268465,22914,25123,123080,139983,6280,6640,338574,330645,303922,295124,13890,15613,10188,9039,2993,3018,1155,1062,6426,6789,309588,301012,16589,18674,13537,12411,4412,4625,1670,1680
R,2,2023,56,4030275,1993227,2037048,1578938,1570901,245422,280083,23141,23026,113207,127667,4704,4591,27815,30780,1602138,1596427,253803,290509,36160,37422,123450,138602,8105,8193,1664483,1714864,1283323,1283035,232147,265065,13371,14416,110310,124690,3600,3532,21732,24126,1301183,1302795,237885,272492,23275,25411,119163,134118,6487,6557,328744,322184,295615,287866,13275,15018,9770,8610,2897,2977,1104,1059,6083,6654,300955,293632,15918,18017,12885,12011,4287,4484,1618,1636
R,2,2023,57,4125396,2036340,2089056,1612245,1610755,253608,288692,23846,23711,114158,130299,4630,4599,27853,31000,1635430,1636456,261835,298852,37269,38507,124189,141321,8053,8272,1710883,1770258,1320277,1326407,239949,273560,14000,15017,111334,127243,3592,3614,21731,24417,1338102,1346378,245586,280812,24222,26497,120023,136717,6474,6694,325457,318798,291968,284348,13659,15132,9846,8694,2824,3056,1038,985,6122,6583,297328,290078,16249,18040,13047,12010,4166,4604,1579,1578
R,2,2023,58,4292253,2106419,2185834,1679249,1699321,257159,296128,23970,24307,113331,129764,4600,4748,28110,31566,1702706,1725414,265186,306310,37859,39963,123385,140599,8017,8482,1791882,1871136,1396732,1418125,244280,281392,14574,15823,110533,126899,3617,3750,22146,25147,1414971,1438632,249817,288725,25282,28230,119267,136299,6486,6910,314537,314698,282517,281196,12879,14736,9396,8484,2798,2865,983,998,5964,6419,287735,286782,15369,17585,12577,11733,4118,4300,1531,1572
R,2,2023,59,4319659,2119233,2200426,1697057,1719603,251751,288940,23529,23938,114621,132125,4369,4599,27906,31221,1720297,1745350,259476,298641,37625,39545,124549,142919,7771,8384,1818907,1897312,1427561,1449138,239149,274697,14573,15591,112001,129313,3403,3633,22220,24940,1445871,1469442,244555,281666,25599,28049,120651,138637,6284,6826,300326,303114,269496,270465,12602,14243,8956,8347,2620,2812,966,966,5686,6281,274426,275908,14921,16975,12026,11496,3898,4282,1487,1558
R,2,2023,60,4322185,2112931,2209254,1696841,1734272,248584,287557,23061,23797,112871,128221,4322,4538,27252,30869,1719628,1759652,255988,297221,36684,39587,122618,138676,7662,8194,1824940,1915680,1438042,1471910,236741,274144,14414,15709,110296,125509,3429,3626,22018,24782,1456256,1492035,241915,281121,25314,28376,118870,134568,6312,6705,287991,293574,258799,262362,11843,13413,8647,8088,2575,2712,893,912,5234,6087,263372,267617,14073,16100,11370,11211,3748,4108,1350,1489
R,2,2023,61,4317171,2107750,2209421,1710962,1751457,241564,282408,22544,23571,101346,117516,4241,4250,27093,30219,1733577,1776248,248799,291865,36425,39347,110957,127610,7530,7807,1835872,1932199,1466674,1503698,230420,269823,14447,15931,99027,114936,3430,3402,21874,24409,1484748,1523495,235492,276686,25554,28748,107440,123697,6230,6392,271878,277222,244288,247759,11144,12585,8097,7640,2319,2580,811,848,5219,5810,248829,252753,13307,15179,10871,10599,3517,3913,1300,1415
R,2,2023,62,4300197,2092478,2207719,1694439,1746004,242042,282980,22049,23316,103218,121631,4122,4288,26608,29500,1716723,1770180,249036,291902,35801,38867,112567,131546,7321,7792,1828970,1935896,1457758,1502582,231238,270710,14117,15997,100863,119073,3336,3474,21658,24060,1475685,1522073,236217,277307,25212,28693,109144,127697,6045,6463,263508,271823,236681,243422,10804,12270,7932,7319,2355,2558,786,814,4950,5440,241038,248107,12819,14595,10589,10174,3423,3849,1276,1329
R,2,2023,63,4184499,2031631,2152868,1649292,1705905,232781,275221,21031,22405,98949,116991,4016,3965,25562,28381,1670652,1729174,239417,283970,34287,37533,108083,126280,7079,7293,1785712,1897917,1428407,1478150,222615,263430,13762,15407,96772,114605,3247,3218,20909,23107,1445752,1496850,227339,269884,24528,27797,104816,122686,5842,6042,245919,254951,220885,227755,10166,11791,7269,6998,2177,2386,769,747,4653,5274,224900,232324,12078,14086,9759,9736,3267,3594,1237,1251
R,2,2023,64,4115664,1988253,2127411,1620105,1692336,223909,266659,19509,21405,96944,116212,3685,3814,24101,26985,1640221,1714495,230147,274710,32351,36105,105258,125001,6453,6856,1762252,1887136,1417275,1477343,214218,255544,13019,14900,94926,114008,3008,3144,19806,22197,1433663,1495397,218668,261501,23571,27095,102285,121693,5371,5762,226001,240275,202830,214993,9691,11115,6490,6505,2018,2204,677,670,4295,4788,206558,219098,11479,13209,8780,9010,2973,3308,1082,1094
R,2,2023,65,4080383,1964159,2116224,1607638,1692250,215208,259487,19322,20871,94780,113636,3548,3705,23663,26275,1627274,1713762,221343,267391,32037,35458,102941,121914,6317,6695,1747477,1883556,1413029,1483689,206203,248899,12868,14717,92876,111658,2926,3020,19575,21573,1429120,1501142,210666,254742,23382,26816,100154,118881,5293,5587,216682,232668,194609,208561,9005,10588,6454,6154,1904,1978,622,685,4088,4702,198154,212620,10677,12649,8655,8642,2787,3033,1024,1108
R,2,2023,66,3932207,1882381,2049826,1543797,1638038,203334,252024,18191,19893,91553,111137,3325,3460,22181,25274,1562318,1658841,209082,259557,30307,34209,98980,118891,5871,6324,1680650,1829966,1362799,1441257,194797,241806,12143,14117,89786,109084,2726,2893,18399,20809,1378021,1458188,198955,247345,22200,26085,96422,115846,4938,5339,201731,219860,180998,196781,8537,10218,6048,5776,1767,2053,599,567,3782,4465,184297,200653,10127,12212,8107,8124,2558,3045,933,985
R,2,2023,67,3788977,1802696,1986281,1481633,1591312,190734,238728,17284,19109,88861,109800,3072,3446,21112,23886,1499225,1610793,196139,245875,28820,32593,95924,117256,5510,6123,1611862,1774396,1310338,1401321,182556,229154,11649,13594,87193,107850,2558,2840,17568,19637,1324837,1417147,186447,234410,21275,24850,93503,114348,4683,5125,190834,211885,171295,189991,8178,9574,5635,5515,1668,1950,514,606,3544,4249,174388,193646,9692,11465,7545,7743,2421,2908,827,998
R,2,2023,68,3689269,1747058,1942211,1441631,1562500,180589,228916,16125,17907,85846,106927,2977,3275,19890,22686,1458142,1581008,185652,235654,27212,30770,92443,113880,5265,5899,1569687,1741654,1281693,1381713,173210,220219,11202,13049,84318,105146,2495,2735,16769,18792,1295494,1396825,176935,225241,20602,23870,90246,111264,4488,5006,177371,200557,159938,180787,7379,8697,4923,4858,1528,1781,482,540,3121,3894,162648,184183,8717,10413,6610,6900,2197,2616,777,893
R,2,2023,69,3507959,1651842,1856117,1374057,1504071,162909,212497,14773,16561,79136,99014,2640,2939,18327,21035,1389385,1521255,167423,218615,25236,28704,85016,105411,4696,5344,1491403,1672011,1229419,1338091,156120,204474,10333,12064,77827,97411,2210,2458,15494,17513,1242304,1352218,159422,209020,19270,22321,83097,103079,4020,4570,160439,184106,144638,165980,6789,8023,4440,4497,1309,1603,430,481,2833,3522,147081,169037,8001,9595,5966,6383,1919,2332,676,774
R,2,2023,70,3399471,1592394,1807077,1329442,1468084,151871,202477,13638,15730,78016,98291,2613,2850,16814,19645,1343402,1484152,156035,208130,23165,27165,83516,104232,4577,5137,1444006,1633095,1195571,1310934,145583,194886,9617,11577,76749,96756,2249,2394,14237,16548,1207284,1324314,148638,199200,17790,21386,81673,101976,3971,4378,148388,173982,133871,157150,6288,7591,4021,4153,1267,1535,364,456,2577,3097,136118,159838,7397,8930,5375,5779,1843,2256,606,759
R,2,2023,71,3233171,1508178,1724993,1267884,1408529,140858,191873,12655,14575,68788,89120,2252,2586,15741,18310,1280951,1423609,144711,197152,21887,25536,73703,94298,4100,4647,1370061,1563522,1142706,1262781,135277,184680,9096,10799,67651,87737,1932,2171,13399,15354,1153748,1275246,138161,188661,16990,20210,72084,92289,3564,3965,138117,161471,125178,145748,5581,7193,3559,3776,1137,1383,320,415,2342,2956,127203,148363,6550,8491,4897,5326,1619,2009,536,682
R,2,2023,72,3028178,1401587,1626591,1168797,1317885,134603,184265,12105,13893,68879,90827,2228,2406,14975,17315,1181278,1331950,138298,189361,20828,24099,73542,95988,3966,4431,1271549,1470550,1051186,1176907,129139,177429,8788,10211,67768,89435,1900,2049,12768,14519,1061744,1188563,131876,181283,16333,18940,71957,93944,3452,3797,130038,156041,117611,140978,5464,6836,3317,3682,1111,1392,328,357,2207,2796,119534,143387,6422,8078,4495,5159,1585,2044,514,634
R,2,2023,73,2920101,1348028,1572073,1128996,1279888,124392,173206,11433,12985,67101,87219,2177,2411,13929,16364,1140577,1293205,127787,178002,19759,22743,71310,91880,3827,4314,1228189,1426925,1020359,1148472,119510,166867,8388,9729,66135,85986,1849,2043,11948,13828,1030235,1159598,122112,170532,15596,18177,69896,90081,3308,3719,119839,145148,108637,131416,4882,6339,3045,3256,966,1233,328,368,1981,2536,110342,133607,5675,7470,4163,4566,1414,1799,519,595
R,2,2023,74,2836517,1305649,1530868,1101450,1257714,115214,162193,10677,12263,63256,80889,2028,2272,13024,15537,1112257,1270498,118372,166656,18479,21582,67210,85286,3541,4008,1195516,1394943,1001527,1134461,110763,156433,7948,9235,62340,79713,1735,1949,11203,13152,1010758,1145175,113181,159830,14753,17358,65875,83563,3075,3468,110133,135925,99923,123253,4451,5760,2729,3028,916,1176,293,323,1821,2385,101499,125323,5191,6826,3726,4224,1335,1723,466,540
R,2,2023,75,2846344,1310119,1536225,1121171,1282942,105808,149931,10123,11501,58440,74580,1867,2043,12710,15228,1131828,1295576,108870,154182,17916,20832,62068,78774,3331,3731,1205477,1406863,1026084,1165341,101718,144508,7502,8751,57595,73513,1615,1756,10963,12994,1035213,1176010,104051,147804,14347,16890,60822,77224,2929,3258,104642,129362,95087,117601,4090,5423,2621,2750,845,1067,252,287,1747,2234,96615,119566,4819,6378,3569,3942,1246,1550,402,473
R,2,2023,76,2603830,1199488,1404342,1030967,1177849,92695,132247,9259,10479,53412,68263,1672,1795,11483,13709,1040689,1189260,95351,135980,16286,18764,56662,72083,3009,3358,1104715,1285383,944656,1069659,89023,127231,6934,8043,52736,67248,1441,1540,9925,11662,953025,1079272,91049,130082,13136,15249,55625,70630,2619,2929,94773,118959,86311,108190,3672,5016,2325,2436,676,1015,231,255,1558,2047,87664,109988,4302,5898,3150,3515,1037,1453,390,429
R,2,2023,77,1962751,882537,1080214,747468,893009,73518,109921,7149,8462,44003,56208,1442,1639,8957,10975,754917,902075,75649,112938,12455,14904,46723,59418,2575,2956,803537,976347,675513,798441,70424,105565,5259,6329,43382,55374,1255,1413,7704,9225,681872,805989,72039,107820,9893,11859,45816,58181,2255,2581,79000,103867,71955,94568,3094,4356,1890,2133,621,834,187,226,1253,1750,73045,96086,3610,5118,2562,3045,907,1237,320,375
R,2,2023,78,1904729,851913,1052816,725223,874105,68731,104562,6689,8048,41445,53872,1260,1497,8565,10732,732437,882985,70745,107577,11778,14417,43955,56938,2361,2798,780060,957054,659683,786762,65950,100716,5024,6068,40893,53079,1095,1293,7415,9136,665881,794262,67483,103013,9528,11619,43140,55781,2086,2456,71853,95762,65540,87343,2781,3846,1665,1980,552,793,165,204,1150,1596,66556,88723,3262,4564,2250,2798,815,1157,275,342
R,2,2023,79,1868211,828292,1039919,712553,875312,63194,98054,6079,7535,37558,47641,1144,1253,7764,10124,719125,883755,64871,100814,10859,13636,39751,50406,2145,2466,763510,950698,653341,793788,60661,94507,4638,5777,37061,46939,1010,1092,6799,8595,659086,800900,61962,96598,8906,11094,39023,49370,1906,2174,64782,89221,59212,81524,2533,3547,1441,1758,497,702,134,161,965,1529,60039,82855,2909,4216,1953,2542,728,1036,239,292
R,2,2023,80,1758807,773043,985764,666001,830918,57722,91871,5577,6895,35607,45691,968,1208,7168,9181,672039,838565,59400,94360,10005,12533,37587,48165,1806,2241,714556,902186,612506,754643,55403,88409,4356,5230,35180,45049,847,1025,6264,7830,617772,761130,56702,90291,8324,10178,36941,47222,1585,1944,58487,83578,53495,76275,2319,3462,1221,1665,427,642,121,183,904,1351,54267,77435,2698,4069,1681,2355,646,943,221,297
R,2,2023,81,1480094,641428,838666,549865,703106,48630,79758,4868,5944,30996,40771,862,1030,6207,8057,555057,709811,50062,81932,8607,10832,32819,42998,1615,1943,590268,766407,503074,636823,46657,76977,3764,4579,30609,40214,758,867,5406,6947,507578,642571,47759,78662,7094,8893,32236,42176,1431,1686,51160,72259,46791,66283,1973,2781,1104,1365,387,557,104,163,801,1110,47479,67240,2303,3270,1513,1939,583,822,184,257
R,2,2023,82,1321016,563990,757026,480500,631904,43373,73168,4345,5496,29393,38300,797,955,5582,7203,485182,637875,44611,75130,7697,9786,31101,40362,1484,1809,516608,688493,437094,569096,41549,70428,3347,4250,29038,37770,702,804,4878,6145,441177,574147,42499,71926,6323,7996,30565,39592,1316,1559,47382,68533,43406,62808,1824,2740,998,1246,355,530,95,151,704,1058,44005,63728,2112,3204,1374,1790,536,770,168,250
R,2,2023,83,1174353,493649,680704,419854,567091,38208,66450,3742,4922,26186,34565,696,931,4963,6745,424046,572688,39333,68296,6643,8928,27706,36470,1306,1747,451604,618513,381395,510169,36541,63933,2886,3785,25850,34078,603,772,4329,5776,385034,514945,37404,65331,5462,7302,27224,35758,1152,1491,42045,62191,38459,56922,1667,2517,856,1137,336,487,93,159,634,969,39012,57743,1929,2965,1181,1626,482,712,154,256
R,2,2023,84,1089571,452126,637445,386748,535429,33599,59840,3381,4526,23468,30949,583,790,4347,5911,390422,540365,34585,61417,6011,8033,24760,32638,1081,1489,414424,580043,352152,482843,32158,57514,2636,3475,23192,30527,498,662,3788,5022,355335,487009,32910,58706,4967,6532,24352,32002,952,1264,37702,57402,34596,52586,1441,2326,745,1051,276,422,85,128,559,889,35087,53356,1675,2711,1044,1501,408,636,129,225
R,2,2023,85,961423,392438,568985,334663,476234,29392,54000,2929,4033,21016,28688,542,743,3896,5287,337978,480649,30309,55460,5228,7089,22193,30200,988,1385,359217,517745,304152,429306,28158,51914,2270,3124,20774,28297,463,617,3400,4487,307039,433021,28858,53020,4320,5794,21829,29625,854,1184,33221,51240,30511,46928,1234,2086,659,909,242,391,79,126,496,800,30939,47628,1451,2440,908,1295,364,575,134,201
R,2,2023,86,842065,336892,505173,287595,423774,24690,47211,2496,3520,18305,25367,458,615,3348,4686,290436,427667,25433,48498,4426,6242,19374,26729,856,1166,307769,459194,260776,381468,23560,45430,1969,2711,18107,25020,401,530,2956,4035,263271,384800,24132,46429,3705,5099,19083,26235,764,1017,29123,45979,26819,42306,1130,1781,527,809,198,347,57,85,392,651,27165,42867,1301,2069,721,1143,291,494,92,149
R,2,2023,87,749922,293998,455924,250597,381486,21969,43216,2174,3198,15956,23143,409,555,2893,4326,253012,385078,22635,44382,3842,5697,16859,24406,786,1053,268460,414692,227081,343616,20989,41610,1705,2453,15783,22834,362,465,2540,3714,229197,346683,21507,42517,3200,4641,16597,23947,697,907,25538,41232,23516,37870,980,1606,469,745,173,309,47,90,353,612,23815,38395,1128,1865,642,1056,262,459,89,146
R,2,2023,88,654808,251089,403719,214496,339488,18255,37477,1811,2725,13667,19803,353,467,2507,3759,216634,342602,18822,38506,3227,4890,14461,20949,675,913,229610,367857,194628,306463,17496,36118,1423,2078,13511,19538,312,399,2240,3261,196535,309154,17957,36929,2710,3989,14222,20557,605,794,21479,35862,19868,33025,759,1359,388,647,156,265,41,68,267,498,20099,33448,865,1577,517,901,239,392,70,119
R,2,2023,89,545588,204339,341249,174440,286011,14573,31580,1475,2222,11467,17812,313,405,2071,3219,176200,288692,15040,32443,2637,4051,12152,18782,570,815,186927,311045,158361,258150,13959,30427,1159,1717,11343,17590,272,359,1833,2802,159921,260471,14327,31107,2205,3345,11964,18462,500,722,17412,30204,16079,27861,614,1153,316,505,124,222,41,46,238,417,16279,28221,713,1336,432,706,188,320,70,93
R,2,2023,90,488671,177751,310920,151746,260928,12687,28555,1280,2057,9999,16188,251,359,1788,2833,153249,263289,13105,29344,2258,3673,10598,17006,483,724,163005,284316,138101,236383,12156,27532,1008,1618,9895,15997,229,314,1616,2472,139454,238432,12503,28173,1900,3065,10446,16715,444,636,14746,26604,13645,24545,531,1023,272,439,104,191,22,45,172,361,13795,24857,602,1171,358,608,152,291,39,88
R,2,2023,91,409737,144627,265110,125112,225415,9064,22014,971,1636,7875,13331,200,287,1405,2427,126312,227440,9397,22669,1744,3035,8339,14027,382,593,132558,242996,113860,204909,8705,21243,767,1277,7801,13193,173,256,1252,2118,114924,206666,8981,21763,1458,2516,8226,13824,332,530,12069,22114,11252,20506,359,771,204,359,74,138,27,31,153,309,11388,20774,416,906,286,519,113,203,50,63
R,2,2023,92,355424,121260,234164,104115,198215,7775,19467,839,1463,7087,12590,183,268,1261,2161,105176,200027,8059,20063,1537,2675,7517,13240,347,531,111011,214289,94606,179794,7430,18780,656,1131,7027,12467,165,230,1127,1887,95558,181367,7660,19249,1283,2211,7416,13044,315,468,10249,19875,9509,18421,345,687,183,332,60,123,18,38,134,274,9618,18660,399,814,254,464,101,196,32,63
R,2,2023,93,280595,91730,188865,78575,159593,5922,16065,671,1151,5455,10124,141,224,966,1708,79395,160999,6152,16553,1215,2117,5761,10620,274,442,83977,173352,71373,145207,5673,15518,537,910,5411,10016,127,199,856,1502,72102,146441,5859,15910,1026,1777,5684,10456,242,390,7753,15513,7202,14386,249,547,134,241,44,108,14,25,110,206,7293,14558,293,643,189,340,77,164,32,52
R,2,2023,94,228506,71494,157012,61397,132947,4419,12949,511,939,4293,8472,97,189,777,1516,62040,134206,4606,13388,954,1803,4547,8907,195,386,65673,144572,55977,121480,4233,12486,412,732,4260,8383,89,164,702,1327,56558,122572,4393,12842,818,1509,4493,8771,176,338,5821,12440,5420,11467,186,463,99,207,33,89,8,25,75,189,5482,11634,213,546,136,294,54,136,19,48
R,2,2023,95,179922,53677,126245,45839,106863,3326,10385,379,772,3448,6876,71,137,614,1212,46358,107869,3461,10704,715,1486,3652,7215,156,303,49538,116790,41979,98124,3205,10047,309,614,3424,6805,63,120,558,1080,42451,99017,3320,10307,616,1262,3611,7111,140,268,4139,9455,3860,8739,121,338,70,158,24,71,8,17,56,132,3907,8852,141,397,99,224,41,104,16,35
R,2,2023,96,133977,38049,95928,32320,80993,2362,7798,279,605,2579,5474,50,117,459,941,32706,81782,2473,8074,537,1132,2726,5737,114,234,35113,88864,29596,74466,2263,7532,237,492,2560,5425,45,106,412,843,29946,75166,2353,7764,471,971,2692,5665,98,212,2936,7064,2724,6527,99,266,42,113,19,49,5,11,47,98,2760,6616,120,310,66,161,34,72,16,22
R,2,2023,97,99759,26919,72840,22619,61194,1706,5964,202,434,2014,4405,33,85,345,758,22906,61818,1797,6188,389,869,2124,4613,83,180,24907,67693,20754,56434,1648,5772,166,358,2001,4370,29,77,309,682,21011,56999,1724,5963,335,758,2102,4552,73,159,2012,5147,1865,4760,58,192,36,76,13,35,4,8,36,76,1895,4819,73,225,54,111,22,61,10,21
R,2,2023,98,72597,18574,54023,15532,45376,1137,4310,144,355,1499,3331,27,74,235,577,15723,45848,1199,4488,276,684,1582,3490,61,151,17269,50425,14323,42047,1098,4181,122,296,1491,3308,25,67,210,526,14496,42479,1148,4333,242,602,1565,3450,55,136,1305,3598,1209,3329,39,129,22,59,8,23,2,7,25,51,1227,3369,51,155,34,82,17,40,6,15
R,2,2023,99,48752,12066,36686,9915,30596,755,2929,99,225,1092,2482,18,49,187,405,10067,30924,810,3058,195,459,1161,2592,43,103,11146,34317,9064,28401,725,2841,84,191,1085,2466,16,45,172,373,9205,28705,773,2955,175,409,1149,2567,38,94,920,2369,851,2195,30,88,15,34,7,16,2,4,15,32,862,2219,37,103,20,50,12,25,5,9
R,2,2023,100,83122,17872,65250,13992,52643,1171,5625,170,478,2178,5536,34,107,327,861,14258,53328,1268,5922,345,950,2290,5775,87,237,16737,61464,12960,49152,1132,5486,151,425,2164,5512,30,99,300,790,13206,49780,1219,5750,310,863,2268,5729,76,218,1135,3786,1032,3491,39,139,19,53,14,24,4,8,27,71,1052,3548,49,172,35,87,22,46,11,19
R,3,2023,999,334356825,165482203,168874622,125528587,126367502,21947351,23697740,2253077,2209103,10211705,11014354,453591,440632,5087892,5145291,130079926,130946633,24299390,26119946,3678346,3691113,12112564,12900666,890121,878934,132691965,136820134,97016336,98540741,20261397,21969653,1198427,1231442,9862826,10667421,325371,320236,4027608,4090641,100619229,102179410,22106251,23879253,2193096,2287111,11471793,12263143,666081,663931,32790238,32054488,28512251,27826761,1685954,1728087,1054650,977661,348879,346933,128220,120396,1060284,1054650,29460697,28767223,2193139,2240693,1485250,1404002,640771,637523,224040,215003
R,3,2023,0,3651413,1865785,1785628,1287847,1228611,302481,294405,34000,32609,107259,101370,7359,6935,126839,121698,1404498,1340510,372702,361913,57693,55415,154091,146148,16063,15208,1354334,1292345,874521,829592,263477,256585,12331,11736,99391,93976,4077,3921,100537,96535,967518,918857,319964,310936,27251,26124,138037,130966,10374,9922,511451,493283,413326,399019,39004,37820,21669,20873,7868,7394,3282,3014,26302,25163,436980,421653,52738,50977,30442,29291,16054,15182,5689,5286
R,3,2023,1,3698462,1889815,1808647,1301859,1241648,305583,297481,34793,33368,111359,105462,7512,7119,128709,123569,1420222,1355256,376749,365916,58817,56507,158975,151042,16344,15514,1372592,1309838,884487,838869,265994,259098,12525,11939,103377,97896,4207,4032,102002,98004,978823,929480,323203,314162,27632,26517,142712,135586,10603,10124,517223,498809,417372,402779,39589,38383,22268,21429,7982,7566,3305,3087,26707,25565,441399,425776,53546,51754,31185,29990,16263,15456,5741,5390
R,3,2023,2,3611485,1846326,1765159,1264514,1205042,304177,295299,34229,32889,112634,106372,6942,6511,123830,119046,1378399,1314497,372654,361252,57291,55126,158472,150314,15422,14596,1347218,1284849,860172,815884,266989,259335,12590,12155,105034,99014,4188,3869,98245,94592,951029,903335,322074,312475,27114,26196,142965,135433,10342,9759,499108,480310,404342,389158,37188,35964,21639,20734,7600,7358,2754,2642,25585,24454,427370,411162,50580,48777,30177,28930,15507,14881,5080,4837
R,3,2023,3,3773180,1927865,1845315,1337198,1276627,303192,294973,36263,34832,118765,112261,7277,6871,125170,119751,1452289,1386719,372382,361320,59451,57154,165232,156494,15857,14991,1422825,1358791,926323,880403,267274,260377,14046,13596,110852,104730,4493,4234,99837,95451,1018598,968604,323148,313946,28810,27793,149530,141534,10816,10217,505040,486524,410875,396224,35918,34596,22217,21236,7913,7531,2784,2637,25333,24300,433691,418115,49234,47374,30641,29361,15702,14960,5041,4774
